Thu Nov 14 11:54:42 2019,1747498927,0
Thu Nov 14 11:54:42 2019,1747499092,1
Thu Nov 14 11:54:42 2019,1747499337,0
Thu Nov 14 11:54:42 2019,1747499466,1
Thu Nov 14 11:54:42 2019,1747499872,0
Thu Nov 14 11:54:42 2019,1747500037,1
Thu Nov 14 12:17:28 2019,36293492,0
Thu Nov 14 12:17:28 2019,36293592,1
Thu Nov 14 12:17:28 2019,36293947,0
Thu Nov 14 12:17:28 2019,36293998,1
Thu Nov 14 12:17:28 2019,36294063,0
Thu Nov 14 12:17:28 2019,36294132,1
Thu Nov 14 12:17:28 2019,36294167,0
Thu Nov 14 12:17:28 2019,36294237,1
Thu Nov 14 12:17:28 2019,36294442,0
Thu Nov 14 12:17:29 2019,37316800,1
Thu Nov 14 12:17:29 2019,37317370,0
Thu Nov 14 12:17:29 2019,37317425,1
Thu Nov 14 12:17:29 2019,37317460,0
Thu Nov 14 12:17:29 2019,37317705,1
Thu Nov 14 14:50:07 2019,12136225,0
Thu Nov 14 14:50:07 2019,12136320,1
Thu Nov 14 14:50:07 2019,12137075,0
Thu Nov 14 14:50:07 2019,12137115,1
Thu Nov 14 14:50:07 2019,12137255,0
Thu Nov 14 14:50:08 2019,13085147,1
Thu Nov 14 14:50:08 2019,13085352,0
Thu Nov 14 14:50:08 2019,13086082,1
Thu Nov 14 14:50:08 2019,13086822,0
Thu Nov 14 14:50:08 2019,13086867,1
Thu Nov 14 14:50:08 2019,13087092,0
Thu Nov 14 14:50:08 2019,13087152,1
Thu Nov 14 15:02:07 2019,732154712,0
Thu Nov 14 15:02:07 2019,732154812,1
Thu Nov 14 15:02:07 2019,732155202,0
Thu Nov 14 15:02:07 2019,732155242,1
Thu Nov 14 15:02:07 2019,732155342,0
Thu Nov 14 15:02:07 2019,732155382,1
Thu Nov 14 15:02:07 2019,732155598,0
Thu Nov 14 15:02:08 2019,733214575,1
Thu Nov 14 15:02:08 2019,733214855,0
Thu Nov 14 15:02:08 2019,733215010,1
Thu Nov 14 15:36:11 2019,2776087450,0
Thu Nov 14 15:36:11 2019,2776087555,1
Thu Nov 14 15:36:11 2019,2776088095,0
Thu Nov 14 15:36:11 2019,2776088235,1
Thu Nov 14 15:36:11 2019,2776088370,0
Thu Nov 14 15:36:12 2019,2777040412,1
Thu Nov 14 15:36:12 2019,2777041178,0
Thu Nov 14 15:36:12 2019,2777041243,1
Thu Nov 14 15:47:45 2019,3470249952,0
Thu Nov 14 15:47:45 2019,3470250062,1
Thu Nov 14 15:47:45 2019,3470250457,0
Thu Nov 14 15:47:45 2019,3470250687,1
Thu Nov 14 15:47:45 2019,3470250917,0
Thu Nov 14 15:47:46 2019,3471374585,1
Thu Nov 14 15:47:46 2019,3471374800,0
Thu Nov 14 15:47:46 2019,3471374955,1
Thu Nov 14 15:47:46 2019,3471375020,0
Thu Nov 14 15:47:46 2019,3471375735,1
Thu Nov 14 16:59:30 2019,3479619740,0
Thu Nov 14 16:59:30 2019,3479619845,1
Thu Nov 14 16:59:30 2019,3479620230,0
Thu Nov 14 16:59:30 2019,3479620280,1
Thu Nov 14 16:59:30 2019,3479620590,0
Thu Nov 14 16:59:30 2019,3479620650,1
Thu Nov 14 16:59:30 2019,3479620685,0
Thu Nov 14 16:59:30 2019,3480553262,1
Thu Nov 14 16:59:30 2019,3480553367,0
Thu Nov 14 16:59:30 2019,3480553772,1
Thu Nov 14 16:59:30 2019,3480553832,0
Thu Nov 14 16:59:30 2019,3480554332,1
Thu Nov 14 16:59:30 2019,3480554502,0
Thu Nov 14 16:59:30 2019,3480554567,1
Thu Nov 14 17:03:22 2019,3712465634,0
Thu Nov 14 17:03:22 2019,3712465744,1
Thu Nov 14 17:03:22 2019,3712466109,0
Thu Nov 14 17:03:22 2019,3712466159,1
Thu Nov 14 17:03:22 2019,3712466224,0
Thu Nov 14 17:03:22 2019,3712466369,1
Thu Nov 14 17:03:22 2019,3712466464,0
Thu Nov 14 17:03:22 2019,3712466954,1
Thu Nov 14 17:03:22 2019,3712466999,0
Thu Nov 14 17:03:23 2019,3713522757,1
Thu Nov 14 17:03:23 2019,3713522912,0
Thu Nov 14 17:03:23 2019,3713523317,1
Thu Nov 14 19:32:22 2019,4061896052,0
Thu Nov 14 19:32:22 2019,4061896192,1
Thu Nov 14 19:32:22 2019,4061896522,0
Thu Nov 14 19:32:22 2019,4061896592,1
Thu Nov 14 19:32:22 2019,4061896652,0
Thu Nov 14 19:32:22 2019,4061896777,1
Thu Nov 14 19:32:22 2019,4061896952,0
Thu Nov 14 19:32:23 2019,4062913240,1
Thu Nov 14 19:32:23 2019,4062913565,0
Thu Nov 14 19:32:23 2019,4062913600,1
